"method","model","predictor_set","n_folds","mean_r2","sd_r2","mean_rmse","sd_rmse","mean_mae","sd_mae","mean_bias","sd_bias"
"random_split","GAM","all",5,0.257750926198161,0.275914923326435,0.0539668673959911,0.0523445331573463,0.0137401500124278,0.00756045520461173,0.00456012653846422,0.00554883015206809
"random_split","GPR","all",5,0.704467100237624,0.232396933209885,0.0147375635316662,0.0114402077775255,0.0063164204815854,0.00220148546289669,-0.000317146089294086,0.00293496741857759
"random_split","XGB","all",5,0.749847335649531,0.289252160995511,0.0136800396997655,0.00829442337690337,0.00547890838576826,0.00130374466459928,0.000257173694949435,0.00266673065122715
"spatial_block_10000m","GAM","all",5,0.165364247562176,0.201159982970259,96.7793362147471,216.317079421121,11.9698832072381,26.7293152560667,11.9569467686902,26.7308897789348
"spatial_block_10000m","GPR","all",5,0.121122931552042,0.116298765913675,0.0314436068269268,0.0207562793018061,0.0187014776969331,0.0105352114313394,0.00399099335999293,0.0167564992779818
"spatial_block_10000m","XGB","all",5,0.354328552946983,0.238517283540247,0.0270843087871341,0.0188032336538192,0.0137192650587352,0.00702016005894059,0.00269062363476705,0.0113655920898999
"spatial_block_1000m","GAM","all",5,0.347284115841626,0.261152063765735,0.0359819134451288,0.029751172643306,0.0174340762606521,0.0135731222501977,0.00358399335282951,0.0116552668567945
"spatial_block_1000m","GPR","all",5,0.121785199764365,0.159465180114264,0.0269459599871825,0.019213155906905,0.0153636832358526,0.00975790236453531,-0.00150011942081695,0.0137110093343968
"spatial_block_1000m","XGB","all",5,0.478627018126553,0.350447310754525,0.032530139736763,0.0257102607966053,0.0159912810212556,0.0112898058635369,0.00338462312128591,0.0177921400033476
"spatial_block_1e+05m","GAM","all",5,0.0254038907346924,0.0177604104724811,0.637140486086229,1.3510825509421,0.115037811450811,0.226342783595086,0.0953291472949583,0.203912206004011
"spatial_block_1e+05m","GPR","all",5,0.00426755344227594,0.00417119335868293,0.0252370543476427,0.019630557381197,0.0157318349524551,0.00858665012108225,0.000595118261399712,0.0117896097328412
"spatial_block_1e+05m","XGB","all",5,0.244660421651284,0.222822070393787,0.0290062565882152,0.0199280414322089,0.017159073318319,0.0113218496277379,0.0018805920349097,0.0162985114643295
"spatial_block_25000m","GAM","all",5,0.157119654794602,0.29857372015721,4.34219003966682,9.64772165268347,0.688516515044473,1.50524521323749,0.677352976267516,1.50589322932779
"spatial_block_25000m","GPR","all",5,0.0113449018888459,0.0154283179090773,0.0281556998039372,0.0229925557292417,0.0179149722217429,0.0113083879600109,-0.00166353711488944,0.0185092530298391
"spatial_block_25000m","XGB","all",5,0.0786593548618512,0.115336366064126,0.0296679058309476,0.0225769097311969,0.0164947845481893,0.011661794160833,-0.00402822495637636,0.0190375057915298
"spatial_block_50000m","GAM","all",5,0.0364387585607863,0.0350221243789907,0.761539652093604,1.55078834258712,0.124843209575804,0.203628711118036,0.106269604379333,0.202851854973265
"spatial_block_50000m","GPR","all",5,0.0087072091707909,0.00978745729840158,0.0260994886294953,0.020613045521267,0.0161124828949364,0.00945061292845662,-0.000413984397393091,0.0137157647488766
"spatial_block_50000m","XGB","all",5,0.117972222659575,0.163711861032111,0.0307098542296131,0.0195123035353443,0.0173237593768009,0.0105634534630928,-0.00105309977723358,0.0155387833228983
"spatial_block_5000m","GAM","all",5,0.293677300051159,0.278471401788794,0.0631181561077998,0.0607958803923536,0.0221052256513316,0.0170475064722291,0.0104054676431562,0.0179092573860292
"spatial_block_5000m","GPR","all",5,0.14291742411109,0.18176709813249,0.0302246003856978,0.0150400573067697,0.0167573538703585,0.00649445529251989,0.00222122566900709,0.0121805754273194
"spatial_block_5000m","XGB","all",5,0.540860205078041,0.309180380784474,0.0295688593041022,0.030026890583212,0.0158773144426197,0.0138454431132039,0.00212174861189928,0.0180894866182767
